Ngay,Ma,Gia_Hien_Tai,Du_Doan,Target,Stoploss,RR_Ratio,Ti_Le_Thanh_Cong,Ket_Qua
2026-02-24,ACB,24.0,Di_Ngang,24.51,23.78,2.32,69.9%,
2026-02-24,BID,48.75,Di_Ngang,51.71,46.35,1.23,55.2%,
2026-02-24,BVH,84.0,Di_Ngang,84.5,81.55,0.2,16.7%,
2026-02-24,CTG,38.2,Giam,38.04,41.11,0.05,4.8%,
2026-02-24,FPT,92.5,Di_Ngang,94.16,90.62,0.88,46.8%,
2026-02-24,GAS,110.5,Di_Ngang,122.8,107.04,3.55,78.0%,
2026-02-24,GVR,39.45,Di_Ngang,43.8,39.41,108.75,99.1%,
2026-02-24,HDB,28.5,Tang,29.06,25.48,0.19,16.0%,
2026-02-24,HPG,28.3,Tang,29.8,25.87,0.62,38.3%,
2026-02-24,KDH,28.25,Di_Ngang,30.25,28.12,15.38,93.9%,
2026-02-24,MBB,28.25,Di_Ngang,28.8,27.9,1.57,61.1%,
2026-02-24,MSN,80.9,Di_Ngang,82.63,79.54,1.27,55.9%,
2026-02-24,MWG,92.2,Di_Ngang,92.42,91.19,0.22,18.0%,
2026-02-24,NVL,12.75,Di_Ngang,13.28,12.0,0.71,41.5%,
2026-02-24,PDR,17.3,Giam,16.8,18.51,0.41,29.1%,
2026-02-24,PLX,57.7,Di_Ngang,64.8,57.37,21.52,95.6%,
2026-02-24,PNJ,120.5,Di_Ngang,121.81,118.6,0.69,40.8%,
2026-02-24,POW,13.9,Di_Ngang,14.0,13.72,0.56,35.9%,
2026-02-24,SAB,48.8,Giam,47.75,54.37,0.19,16.0%,
2026-02-24,SSI,32.1,Tang,37.09,28.91,1.56,60.9%,
2026-02-24,STB,63.4,Di_Ngang,63.57,62.7,0.24,19.4%,
2026-02-24,TCB,35.8,Di_Ngang,37.12,35.79,132.0,99.2%,
2026-02-24,TPB,18.05,Di_Ngang,18.24,17.54,0.37,27.0%,
2026-02-24,VCB,65.0,Di_Ngang,66.69,64.89,15.36,93.9%,
2026-02-24,VHM,111.0,Di_Ngang,113.76,103.66,0.38,27.5%,
2026-02-24,VIC,162.9,Di_Ngang,173.22,162.84,172.0,99.4%,
2026-02-24,VJC,186.6,Di_Ngang,189.7,182.55,0.77,43.5%,
2026-02-24,VNM,70.2,Di_Ngang,70.93,69.68,1.4,58.3%,
2026-02-24,VPB,29.0,Di_Ngang,29.52,28.13,0.6,37.5%,
2026-02-24,VRE,29.5,Di_Ngang,30.05,29.35,3.67,78.6%,
